False negative test rate,Tracing efficiency,N_infected_done,N_recovered,Reff 
1.000000,0.200000,317852,160226,1.983608 
0.000000,0.220000,99575,70282,1.414625 
0.020000,0.220000,94982,66463,1.427506 
0.040000,0.220000,105576,73249,1.440258 
0.060000,0.220000,101471,69963,1.450118 
0.080000,0.220000,113004,77270,1.461869 
0.100000,0.220000,117933,79538,1.482709 
0.120000,0.220000,130834,87638,1.492291 
0.140000,0.220000,118730,79070,1.500654 
0.160000,0.220000,124031,81765,1.517753 
0.180000,0.220000,128807,84437,1.524447 
0.200000,0.220000,129818,84656,1.533123 
0.220000,0.220000,145409,93482,1.554997 
0.240000,0.220000,138497,88659,1.560037 
0.260000,0.220000,154106,97866,1.574101 
0.280000,0.220000,156510,98204,1.593957 
0.300000,0.220000,154407,96467,1.600222 
0.320000,0.220000,168576,104249,1.615985 
0.340000,0.220000,168256,103411,1.626731 
0.360000,0.220000,173132,105397,1.642261 
0.380000,0.220000,187039,113257,1.649922 
0.400000,0.220000,179040,107378,1.666831 
0.420000,0.220000,207974,124321,1.672771 
0.440000,0.220000,206004,121953,1.688840 
0.460000,0.220000,194912,114674,1.698431 
0.480000,0.220000,197968,115865,1.707976 
0.500000,0.220000,207960,120363,1.727209 
0.520000,0.220000,212204,122102,1.737980 
0.540000,0.220000,240503,137249,1.751956 
0.560000,0.220000,223532,126788,1.763389 
0.580000,0.220000,234666,132196,1.774513 
0.600000,0.220000,243257,136319,1.784294 
0.620000,0.220000,247992,138363,1.792134 
0.640000,0.220000,240816,133389,1.804200 
0.660000,0.220000,251166,138049,1.819429 
0.680000,0.220000,254977,139036,1.833156 
0.700000,0.220000,256356,139001,1.843863 
0.720000,0.220000,267290,144086,1.854623 
0.740000,0.220000,276503,148633,1.859725 
0.760000,0.220000,283827,151302,1.875400 
0.780000,0.220000,275058,146420,1.878008 
0.800000,0.220000,279691,148261,1.885921 
0.820000,0.220000,271205,142438,1.904025 
0.840000,0.220000,281534,146878,1.915779 
0.860000,0.220000,281709,146521,1.922202 
0.880000,0.220000,296843,153581,1.932508 
0.900000,0.220000,308088,159054,1.936665 
0.920000,0.220000,314415,161213,1.950043 
0.940000,0.220000,311365,159438,1.952245 
0.960000,0.220000,314245,159901,1.965111 
0.980000,0.220000,292831,148957,1.965279 
1.000000,0.220000,308036,155753,1.977974 
0.000000,0.240000,85274,61275,1.389456 
0.020000,0.240000,92863,66229,1.401898 
0.040000,0.240000,90829,64066,1.415704 
0.060000,0.240000,91669,64062,1.430205 
0.080000,0.240000,96806,67020,1.442942 
0.100000,0.240000,105763,72451,1.458651 
0.120000,0.240000,114039,77527,1.470349 
0.140000,0.240000,116446,78252,1.487347 
0.160000,0.240000,120473,80861,1.489130 
0.180000,0.240000,128959,85129,1.513775 
